"Firm Id","Acct Id","Exchange","Ticker Symbol","Product Name","CC Code","Period Code","Put / Call","Strike","Underlying Period Code","Net Positions","Margin Type","Client ID"
"tml1","ES_FCMTYPE","CME","","","ES","201609","","","","-1","",
"tml1","ES_FCMTYPE","CME","","","ES","201609","PUT","2000","201609","2","",
"tml1","ES_FCMTYPE","CME","","","ES","201609","CALL","2055","201609","2","",
"tml1","ES_FCMTYPE","CME","","","ES","201609","PUT","2070","201609","-2","",
"tml1","ES_FCMTYPE","CME","","","ES","201609","CALL","2125","201609","-1","",
"tml1","ES_FCMTYPE","CME","","","ES","201609","PUT","2125","201609","-1","",
