"Firm Id","Acct Id","Exchange","Ticker Symbol","Product Name","CC Code","Period Code","Put / Call","Strike","Underlying Period Code","Net Positions","Margin Type","Client ID"
"tml1","CL_MODELTYPE","NYMEX","","","LO","201610","PUT","44","201610","-1","",
"tml1","CL_MODELTYPE","NYMEX","","","CL","201610","","","","-2","",
"tml1","CL_MODELTYPE","NYMEX","","","LO","201610","CALL","49.5","201610","1","",
"tml1","CL_MODELTYPE","NYMEX","","","LO","201610","PUT","42.5","201610","-1","",
"tml1","CL_MODELTYPE","NYMEX","","","LO","201610","CALL","48.5","201610","1","",
"tml1","CL_MODELTYPE","NYMEX","","","LO","201610","CALL","45.5","201610","1","",
"tml1","CL_MODELTYPE","NYMEX","","","LO","201610","CALL","52.5","201610","-1","",
"tml1","CL_MODELTYPE","NYMEX","","","LO","201610","PUT","40","201610","-1","",
"tml1","CL_MODELTYPE","NYMEX","","","LO","201610","PUT","47","201610","1","",
