PRECID,PFIRM,POFFIC,PACCT,PATYPE,PCUSIP,PCUSP2,PCTYM,PSBCUS,PSTYPE,PSUBTY,PSTYP2,PSTRIK,PEXPDT,PSUBAC,PDEAL,PTDATE,PTPRIC,PBS,PLOC,PBROKR,PSPRED,PTRACE,PICODE,PREFNO,PSWAC1,PSWAP1,PSWAS1,PSWAC2,PSWAP2,PSWAS2,PZONE,PACNTY,PCLASS,PSUBCL,PRR,PRISKG,PMEMBR,PSNAME,PSRCAC,PREFOF,PREFRR,POFFFN,POFFOF,POFFAC,POFFAT,PMPGMN,PSTATA,PSTATB,PSTATC,PSTATD,PSTATE,PSTATF,PSTATG,PSTATH,PSTATJ,PSTATK,PSTAT1,PSTAT2,PSTAT3,PSTAT4,PSTAT5,PSTAT6,PSTAT7,PSTAT8,PSTAT9,PQTEDT,PQTY,PPRTQ,PBUSTQ,PMAKEQ,PLEAVQ,PSEGQ,PTFRQ,PDLVYQ,PDLVYA,PSDSC#,PSDSC1,PSDSC2,PSDSC3,PTDSC#,PTDSC1,PTDSC2,PTDSC3,PMKVAL,PYSTMV,PMULTF,PSDATE,PEXRAT,PRXDAT,PIAD,PYIELD,PDCTCO,PDELTA,PLTDAT,PCTLNO,PPCNTY,PEXCH,PFC,PTYPE,PSYMBL,PPTYPE,PSUBEX,PTRDEX,PMATDT,PPRTPR,PBASIS,PCLOSE,PPRCDT,PPRTCP,PUNDCP,PPRTUC,PPRVCP,PTRPRC,PEXPR,PPRICE,PSPEDT,PTPEDT,PCURSY,PCURCD,PCALC,PCMNT1,PCMNT2,PCMNT3,PLEGND,POMNCD,PRTHT,PSCHDL,POC,PCOD,PUCUSP,PCVTBL,PEXBKR,POPBKR,POPFRM,PGIVIO,PGIVF#,PIEXNG,PIEFRM,PCARD,PORDER,PCHIT,PFEECL,PFEEEX,PCTI,PORDTY,PORDOR,PTIME,PTBKT,PSESSN,PSTINS,PTTYPE,PBARG1,PBARG2,PBARG3,PBARG4,PBARG5,PMTABL,PMINIT,PMVARN,PMUNTL,PMGCNV,PREL1F,PREL1O,PREL1A,PREL1T,PREL2F,PREL2O,PREL2A,PREL2T,PREL3F,PREL3O,PREL3A,PREL3T,PCOMM,PFEE1,PFEE2,PFEE3,PFEE4,PFEE5,PFEE6,PFEE7,PFEE8,PFEE9,PGICHG,PBKCHG,POTHER, PGROSS , PNET ,PMBKOF,PMFLOR,PMORDR,PMWIRE,PMOTHR,PATCOM,PATFE1,PATFE2,PATFE3,PATFE4,PATFE5,PATFE6,PAFE7,PATFE8,PATFE9,PATGIV,PATBKG,PATOTH,PATBKO,PATFLR,PATORD,PATWIR,PATALO,PFDCOM,PFDFE1,PFDFE2,PFDFE3,PFDFE4,PFDFE5,PFDFE6,PFDFE7,PFDFE8,PFDFE9,PFDGIV,PFDBKG,PFDOTH,PFDBKO,PFDFLR,PFDORD,PFDWIR,PFDALO,PFUFE1,PFUFE2,PFUFE3,PFUFE4,PFUFE5,PFUFE6,PFUFE7,PFUFE8,PFUFE9,PFUGIV,PFUBKG,PFUOTH,PFUBKO,PFUFLR,PFUORD,PFUWIR,PFUALO,POVNQ,PDAYQ,PSCRQ,PSPDQ,POVNC,PDAYC,PSCRC,PSPDC,PSORTK,PLEVEL,PBATCH,PRECNO,PCLRID,PINPMO,PINPYR,PFBACC,PORIG,PCABCD,PSCHOV,PPGMID,PSCRID,PUSER,PWSID,PWSTIM,PDEST,PDELET,PXTRCT,PBQTY,PSQTY,PFDAM1,PAMT1,PFDAM2,PAMT2,PROUT1,PROUT2,PROUT3,PCURAC,PCURAT,PCCNTY
"P","P","PRI","00161","US",".GCU0395016W","            ","201611","  ","F","P"," ",39.50000000      ,20161017   ,"          ","       ",20160921   ,.26000000        ,"2"," ","  "," ","6I21 CIY40","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  NOV 16 NYM LT CRUDE  3950","                              ","                              ",1  ,"                              ","                              ","131537                        ",-70.00           ,.00              ,1000.0000000     ,20160921   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0300  ,20161017   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .26   ",.00000000  ,.07000000        ,20160929   ,"     .07   ",47.83000000      ,"           ",.12000000        ,.00000000        ,"0003950","     0000026","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","51IM","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,190.00           ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",44065    ,"    163930","-","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131623   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0450016K","            ","201611","  ","F","C"," ",45.00000000      ,20161017   ,"          ","       ",20160915   ,1.82000000       ,"1"," ","  "," ","6I15 CJGV0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL NOV 16 NYM LT CRUDE  4500","                              ","                              ",1  ,"                              ","                              ","131228                        ",3440.00          ,.00              ,1000.0000000     ,20160915   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.7710  ,20161017   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"    1.82   ",.00000000  ,3.44000000       ,20160929   ,"    3.44   ",47.83000000      ,"           ",3.02000000       ,.00000000        ,"0004500","     0000182","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","GZN1","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,1620.00          ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",44066    ,"    169109","-","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131437   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0465016W","            ","201611","  ","F","P"," ",46.50000000      ,20161017   ,"          ","       ",20160919   ,3.41000000       ,"1"," ","  "," ","6I19 BWUO0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  NOV 16 NYM LT CRUDE  4650","                              ","                              ",1  ,"                              ","                              ","131538                        ",1060.00          ,.00              ,1000.0000000     ,20160919   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.3530  ,20161017   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"    3.41   ",.00000000  ,1.06000000       ,20160929   ,"    1.06   ",47.83000000      ,"           ",1.55000000       ,.00000000        ,"0004650","     0000341","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","S6O7","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-2350.00         ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<1",44067    ,"    135426","-","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",131741   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","PRI","00161","US",".GCU0520016K","            ","201611","  ","F","C"," ",52.00000000      ,20161017   ,"          ","       ",20160915   ,.18000000        ,"2"," ","  "," ","6I15 CLNH0","200","       PRI10","            "," "," ","            "," "," "," ","US","C"," ","PRI10","   "," ","PROSPERITY FUND     ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL NOV 16 NYM LT CRUDE  5200","                              ","                              ",1  ,"                              ","                              ","131841                        ",-360.00          ,.00              ,1000.0000000     ,20160915   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.1650  ,20161017   ,"          ","US","07","CU","O","      "," "," ","1G",0          ,"     .18   ",.00000000  ,.36000000        ,20160929   ,"     .36   ",47.83000000      ,"           ",.39000000        ,.00000000        ,"0005200","     0000018","2","C","USD","US"," "," N"," N","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","H0WW","                         ","               ","N","N","4","  L","  ","      ","  "," ","  "," ","  ","  ","  ","  ","  "," ",.00              ,-180.00          ,0          ,.00              ,"P","9PR","00160","M"," ","   ","     "," "," ","   ","     "," ",-11.00           ,.00              ,-1.45            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," "," "," "," ","B","T"," ","F","D","W"," ","C","C","C"," ","C","C"," "," "," "," ","C","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-11.00           ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",44068    ,"    170994","-","16","     "," "," ","  ","07","31","TML1      ","CMEXMLLOAD",132110   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
