"Firm Id","Acct Id","Exchange","Ticker Symbol","Product Name","CC Code","Period Code","Put / Call","Strike","Underlying Period Code","Net Positions","Margin Type","Client ID"
"tml1","CL_FCMTYPE","NYMEX","","","CL","201408","","","","-2","",
"tml1","CL_FCMTYPE","NYMEX","","","LO","201408","CALL","106","201408","-1","",
"tml1","CL_FCMTYPE","NYMEX","","","LO","201408","CALL","109.5","201408","3","",
"tml1","CL_FCMTYPE","NYMEX","","","LO","201408","CALL","113","201408","-1","",
"tml1","CL_FCMTYPE","NYMEX","","","LO","201408","PUT","104","201408","-2","",
