PRECID,PFIRM,POFFIC,PACCT,PATYPE,PCUSIP,PCUSP2,PCTYM,PSBCUS,PSTYPE,PSUBTY,PSTYP2,PSTRIK,PEXPDT,PSUBAC,PDEAL,PTDATE,PTPRIC,PBS,PLOC,PBROKR,PSPRED,PTRACE,PICODE,PREFNO,PSWAC1,PSWAP1,PSWAS1,PSWAC2,PSWAP2,PSWAS2,PZONE,PACNTY,PCLASS,PSUBCL,PRR,PRISKG,PMEMBR,PSNAME,PSRCAC,PREFOF,PREFRR,POFFFN,POFFOF,POFFAC,POFFAT,PMPGMN,PSTATA,PSTATB,PSTATC,PSTATD,PSTATE,PSTATF,PSTATG,PSTATH,PSTATJ,PSTATK,PSTAT1,PSTAT2,PSTAT3,PSTAT4,PSTAT5,PSTAT6,PSTAT7,PSTAT8,PSTAT9,PQTEDT,PQTY,PPRTQ,PBUSTQ,PMAKEQ,PLEAVQ,PSEGQ,PTFRQ,PDLVYQ,PDLVYA,PSDSC#,PSDSC1,PSDSC2,PSDSC3,PTDSC#,PTDSC1,PTDSC2,PTDSC3,PMKVAL,PYSTMV,PMULTF,PSDATE,PEXRAT,PRXDAT,PIAD,PYIELD,PDCTCO,PDELTA,PLTDAT,PCTLNO,PPCNTY,PEXCH,PFC,PTYPE,PSYMBL,PPTYPE,PSUBEX,PTRDEX,PMATDT,PPRTPR,PBASIS,PCLOSE,PPRCDT,PPRTCP,PUNDCP,PPRTUC,PPRVCP,PTRPRC,PEXPR,PPRICE,PSPEDT,PTPEDT,PCURSY,PCURCD,PCALC,PCMNT1,PCMNT2,PCMNT3,PLEGND,POMNCD,PRTHT,PSCHDL,POC,PCOD,PUCUSP,PCVTBL,PEXBKR,POPBKR,POPFRM,PGIVIO,PGIVF#,PIEXNG,PIEFRM,PCARD,PORDER,PCHIT,PFEECL,PFEEEX,PCTI,PORDTY,PORDOR,PTIME,PTBKT,PSESSN,PSTINS,PTTYPE,PBARG1,PBARG2,PBARG3,PBARG4,PBARG5,PMTABL,PMINIT,PMVARN,PMUNTL,PMGCNV,PREL1F,PREL1O,PREL1A,PREL1T,PREL2F,PREL2O,PREL2A,PREL2T,PREL3F,PREL3O,PREL3A,PREL3T,PCOMM,PFEE1,PFEE2,PFEE3,PFEE4,PFEE5,PFEE6,PFEE7,PFEE8,PFEE9,PGICHG,PBKCHG,POTHER, PGROSS , PNET ,PMBKOF,PMFLOR,PMORDR,PMWIRE,PMOTHR,PATCOM,PATFE1,PATFE2,PATFE3,PATFE4,PATFE5,PATFE6,PAFE7,PATFE8,PATFE9,PATGIV,PATBKG,PATOTH,PATBKO,PATFLR,PATORD,PATWIR,PATALO,PFDCOM,PFDFE1,PFDFE2,PFDFE3,PFDFE4,PFDFE5,PFDFE6,PFDFE7,PFDFE8,PFDFE9,PFDGIV,PFDBKG,PFDOTH,PFDBKO,PFDFLR,PFDORD,PFDWIR,PFDALO,PFUFE1,PFUFE2,PFUFE3,PFUFE4,PFUFE5,PFUFE6,PFUFE7,PFUFE8,PFUFE9,PFUGIV,PFUBKG,PFUOTH,PFUBKO,PFUFLR,PFUORD,PFUWIR,PFUALO,POVNQ,PDAYQ,PSCRQ,PSPDQ,POVNC,PDAYC,PSCRC,PSPDC,PSORTK,PLEVEL,PBATCH,PRECNO,PCLRID,PINPMO,PINPYR,PFBACC,PORIG,PCABCD,PSCHOV,PPGMID,PSCRID,PUSER,PWSID,PWSTIM,PDEST,PDELET,PXTRCT,PBQTY,PSQTY,PFDAM1,PAMT1,PFDAM2,PAMT2,PROUT1,PROUT2,PROUT3,PCURAC,PCURAT,PCCNTY
"P","P","CLX","60127","US",".AC-0029016U","            ","201609","  ","F","P"," ",2.90000000       ,20160826   ,"          ","       ",20160714   ,.00375000        ,"1"," ","  "," ","6G14 D1S30","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  SEP 16 CBT CORN       290","                              ","                              ",1  ,"                              ","                              ","122843                        ",25.00            ,.00              ,5000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0170  ,20160826   ,"          ","US","01","C-","O","      "," "," ","01",0          ,"    .00 3/8",.00000000  ,.00250000        ,20160718   ,"    .00 1/4",3.57000000       ,"           ",.00625000        ,.00000000        ,"0000290","     0000003","2","8","USD","US"," "," M","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","RT2R","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,-12.50           ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.25             ,.00              ,-3.90            ,-.02             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," ","8"," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C"," ","C"," "," "," ","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-.25             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24004    ,"    168953","9","16","     "," "," ","  ","01","31","TML1      ","CMEXMLLOAD",122925   ,"B"," ",0        ,2.0000           ,.0000            ," ",.00              ," ",.00              ,"1","A","1","USD","USD","US"
"P","P","CLX","60127","US",".AC-0035016U","            ","201609","  ","F","P"," ",3.50000000       ,20160826   ,"          ","       ",20160714   ,.09875000        ,"1"," ","  "," ","6G14 DNLC0","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  SEP 16 CBT CORN       350","                              ","                              ",1  ,"                              ","                              ","114507                        ",562.50           ,.00              ,5000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.4030  ,20160826   ,"          ","US","01","C-","O","      "," "," ","01",0          ,"    .09 7/8",.00000000  ,.11250000        ,20160718   ,"    .11 1/4",3.57000000       ,"           ",.15500000        ,.00000000        ,"0000350","     0000098","2","8","USD","US"," "," M","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","R92C","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,68.75            ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.12             ,.00              ,-1.95            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," ","8"," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C"," ","C"," "," "," ","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.13             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24005    ,"    155609","9"," 6","     "," "," ","  ","01","31","PGHRC     ","        AD",120636   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"2","A","C","USD","USD","US"
"P","P","CLX","60127","US",".AC-0039016U","            ","201609","  ","F","P"," ",3.90000000       ,20160826   ,"          ","       ",20160714   ,.35875000        ,"2"," ","  "," ","6G14 DNJ80","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  SEP 16 CBT CORN       390","                              ","                              ",1  ,"                              ","                              ","114457                        ",-3900.00         ,.00              ,5000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.7540  ,20160826   ,"          ","US","01","C-","O","      "," "," ","01",0          ,"    .35 7/8",.00000000  ,.39000000        ,20160718   ,"    .39    ",3.57000000       ,"           ",.44750000        ,.00000000        ,"0000390","     0000358","2","8","USD","US"," "," M","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","R8YV","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,-312.50          ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.25             ,.00              ,-3.90            ,-.02             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," ","8"," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C"," ","C"," "," "," ","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-.25             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24006    ,"    155588","9"," 6","     "," "," ","  ","01","31","PGHRC     ","        AD",120643   ,"B"," ",0        ,.0000            ,2.0000           ," ",.00              ," ",.00              ,"2","A","C","USD","USD","US"
"P","P","CLX","60127","US",".AC-0040016I","            ","201609","  ","F","C"," ",4.00000000       ,20160826   ,"          ","       ",20160714   ,.07875000        ,"2"," ","  "," ","6G14 DNTA0","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL SEP 16 CBT CORN       400","                              ","                              ",1  ,"                              ","                              ","114603                        ",-475.00          ,.00              ,5000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.1970  ,20160826   ,"          ","US","01","C-","O","      "," "," ","01",0          ,"    .07 7/8",.00000000  ,.04750000        ,20160718   ,"    .04 3/4",3.57000000       ,"           ",.05750000        ,.00000000        ,"0000400","     0000078","2","8","USD","US"," "," M","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","R9HM","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,312.50           ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.25             ,.00              ,-3.90            ,-.02             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," ","8"," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C"," ","C"," "," "," ","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-.25             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24007    ,"    155910","9"," 6","     "," "," ","  ","01","31","PGHRC     ","        AD",120647   ,"B"," ",0        ,.0000            ,2.0000           ," ",.00              ," ",.00              ,"2","A","C","USD","USD","US"
"P","P","CLX","60127","US",".AC-0041016U","            ","201609","  ","F","P"," ",4.10000000       ,20160826   ,"          ","       ",20160714   ,.52125000        ,"2"," ","  "," ","6G14 DN1L0","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1-",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"PUT  SEP 16 CBT CORN       410","                              ","                              ",1  ,"                              ","                              ","114702                        ",-2837.50         ,.00              ,5000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.8420  ,20160826   ,"          ","US","01","C-","O","      "," "," ","01",0          ,"    .52 1/8",.00000000  ,.56750000        ,20160718   ,"    .56 3/4",3.57000000       ,"           ",.62375000        ,.00000000        ,"0000410","     0000521","2","8","USD","US"," "," M","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","R9SC","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,-231.25          ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.12             ,.00              ,-1.95            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," ","8"," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C"," ","C"," "," "," ","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.12             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24008    ,"    156150","9"," 6","     "," "," ","  ","01","31","PGHRC     ","        AD",120653   ,"B"," ",0        ,.0000            ,1.0000           ," ",.00              ," ",.00              ,"2","A","C","USD","USD","US"
"P","P","CLX","60127","US",".AC-0046016I","            ","201609","  ","F","C"," ",4.60000000       ,20160826   ,"          ","       ",20160714   ,.02750000        ,"1"," ","  "," ","6G14 DNP20","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",1.0000           ,"             1 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL SEP 16 CBT CORN       460","                              ","                              ",1  ,"                              ","                              ","114536                        ",68.75            ,.00              ,5000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0580  ,20160826   ,"          ","US","01","C-","O","      "," "," ","01",0          ,"    .02 3/4",.00000000  ,.01375000        ,20160718   ,"    .01 3/8",3.57000000       ,"           ",.01875000        ,.00000000        ,"0000460","     0000027","2","8","USD","US"," "," M","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","R9BT","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,-68.75           ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.13             ,.00              ,-1.95            ,-.01             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," ","8"," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C"," ","C"," "," "," ","C"," ","C","C","C"," ",1.0000           ,.0000            ,.0000            ,.0000            ,-.13             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24009    ,"    155809","9"," 6","     "," "," ","  ","01","31","PGHRC     ","        AD",120659   ,"B"," ",0        ,1.0000           ,.0000            ," ",.00              ," ",.00              ,"2","A","C","USD","USD","US"
"P","P","CLX","60127","US",".AC-0050016I","            ","201609","  ","F","C"," ",5.00000000       ,20160826   ,"          ","       ",20160714   ,.01625000        ,"1"," ","  "," ","6G14 DN760","200","       C4LOC","            "," "," ","            "," "," "," ","US","C"," ","C4LOC","   "," ","ASYMMETRIC          ","          ","   ","     ","P","   ","     ","  ","  "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0",2.0000           ,"             2 ",.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.0000            ,.00              ,1  ,"CALL SEP 16 CBT CORN       500","                              ","                              ",1  ,"                              ","                              ","114754                        ",75.00            ,.00              ,5000.0000000     ,20160714   ,1.00000000       ,0          ,.000       ,.00000000  ,.00000000        ,.0310  ,20160826   ,"          ","US","01","C-","O","      "," "," ","01",0          ,"    .01 5/8",.00000000  ,.00750000        ,20160718   ,"    .00 3/4",3.57000000       ,"           ",.01000000        ,.00000000        ,"0000500","     0000016","2","8","USD","US"," "," M","  ","  ","  "," ","H","FS","O"," ","          US",.00000000        ,"4W7L ","     ","     ","  ","     ","  ","     ","RA46","                         ","               ","C","C","4","  L","  ","      ","  "," ","  ","2","  ","  ","  ","  ","  "," ",.00              ,-87.50           ,0          ,.00              ,"P","9CL","60120","M"," ","   ","     "," "," ","   ","     "," ",-.25             ,.00              ,-3.90            ,-.02             ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,.00              ,"US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","US","M","C","E","N"," ","4","Y"," ","8"," "," "," ","T"," ","F","D","W"," ","C","C","C"," ","C","C"," ","C"," "," "," ","C"," ","C","C","C"," ",2.0000           ,.0000            ,.0000            ,.0000            ,-.25             ,.00              ,.00              ,.00              ,"                                                  ","GBX","B<2",24010    ,"    156234","9"," 6","     "," "," ","  ","01","31","PGHRC     ","        AD",120704   ,"B"," ",0        ,2.0000           ,.0000            ," ",.00              ," ",.00              ,"2","A","C","USD","USD","US"
