"FRECID","FFIRM","FOFFIC","FRR","FACCT","FCLASS","FSUBCL","FATYPE","FCARD","FBS","FQTY","FSDSC1","FPRTPR","FTDATE","FOC","FCTYM","FSBCUS","FSTYPE","FSUBTY","FSTRIK","FEXPDT","FSPRED","FSNAME","FSRCAC","FSDATE","FEXCH","FTRDEX","FFC","FSYMBL","FPTYPE","FTPRIC","FCALC","FCMNT1","FCMNT2","FGIVIO","FGIVF#","FBQTY","FSQTY","FCURAT","FMKVAL","FMULTF","FCLOSE","FCUSIP","FTRACE","FSUBAC","FBROKR","FREFNO","FMEMBR","FDELTA","FLTDAT","FTYPE","FMATDT","FUNDCP","FCURSY","FCURCD","FCMNT3","FOMNCD","FRTHT","FEXBKR","FORDER","FCHIT","FCTI","FMTABL","FREL1F","FREL1O","FREL1A","FREL1T","FDELET","FSDSC2","FCOMM","FFEE1","FFEE2","FFEE3","FFEE4","FFEE5","FFEE6","FFEE7","FFEE8","FFEE9","FGICHG","FBKCHG","FOTHER","FGROSS","FNET","FMBKOF","FMFLOR","FMORDR","FMWIRE","FMOTHR"
"T","R","369","OAKL1","17003","C","A","01","ZLSR","1",1.0000,"PUT  DEC 16 NY LT CRUDE   4100","     .22",20161102," ","201612"," ","F","P",41.00000000,20161116," "," "," ",20161102,"07","1G","CU"," "," ",.22000000," "," G"," ","GI","905",1.0000,.0000,"USD",.00,1000.0000000,.00000000,".GCU0410016X","6K02 BLSC0"," "," "," "," ",.0000,20161116,"O",0,.00000000,"USD","US"," "," "," ","9J5L"," ","110641","4"," "," "," "," "," "," "," ",.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
"T","R","369","OAKL1","17003","C","A","01","ZNZ8","2",1.0000,"PUT  DEC 16 NY LT CRUDE   4300","     .53",20161102," ","201612"," ","F","P",43.00000000,20161116," "," "," ",20161102,"07","1G","CU"," "," ",.53000000," "," G"," ","GI","905",.0000,1.0000,"USD",.00,1000.0000000,.00000000,".GCU0430016X","6K02 BLV70"," "," "," "," ",.0000,20161116,"O",0,.00000000,"USD","US"," "," "," ","9J5L"," ","110672","4"," "," "," "," "," "," "," ",.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
"T","R","369","RMARK","10161","C","A","01","ZMJP","1",1.0000,"PUT  DEC 16 NY LT CRUDE   4100","     .23",20161102," ","201612"," ","F","P",41.00000000,20161116," "," "," ",20161102,"07","1G","CU"," "," ",.23000000," "," G"," ","GI","905",1.0000,.0000,"USD",.00,1000.0000000,.00000000,".GCU0410016X","6K02 BLMW0"," "," "," "," ",.0000,20161116,"O",0,.00000000,"USD","US"," "," "," ","9J5L"," ","110612","4"," ","R","PRG","10160","M"," "," ",.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
"T","R","369","RMARK","10161","C","A","01","ZMVK","2",1.0000,"PUT  DEC 16 NY LT CRUDE   4300","     .53",20161102," ","201612"," ","F","P",43.00000000,20161116," "," "," ",20161102,"07","1G","CU"," "," ",.53000000," "," G"," ","GI","905",.0000,1.0000,"USD",.00,1000.0000000,.00000000,".GCU0430016X","6K02 BLOO0"," "," "," "," ",.0000,20161116,"O",0,.00000000,"USD","US"," "," "," ","9J5L"," ","110615","4"," ","R","PRG","10160","M"," "," ",.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00,.00
